-bash: !~: event not found
           relname           | n_live_tup |   size   | n_tup_ins |          last_stats
 equity_metrics_z_202607     |       5324 | 25 MB    |      5324 | 2026-09-01 10:43:32.428485+00
 equity_metrics_z_202608     |      56870 | 217 MB   |     56991 | 2026-09-01 10:44:04.537501+00
 equity_metrics_z_202507     |       3486 | 1104 kB  |      3486 | 2026-09-01 10:44:04.680583+00
 equity_metrics_z_202508     |       3566 | 9616 kB  |      3566 | 2026-09-01 10:44:06.062148+00
 equity_metrics_z_202509     |       3570 | 10168 kB |      3570 | 2026-09-01 10:44:07.639878+00
 equity_metrics_z_202510     |       3910 | 21 MB    |      3910 | 2026-09-01 10:44:12.016013+00
 equity_metrics_z_202511     |       3230 | 17 MB    |      3230 | 2026-09-01 10:44:14.902214+00
 equity_metrics_z_202512     |       3740 | 20 MB    |      3740 | 2026-09-01 10:44:18.636688+00
 trade_path_rules            |        143 | 112 kB   |       143 | 2026-09-05 22:30:17.181977+00
 trade_paths_manifest        |        242 | 72 kB    |       242 | 2026-09-05 23:16:17.757882+00
 trade_paths                 |     441029 | 444 MB   |    443512 | 2026-09-05 23:17:27.505723+00
 daily_features              |     200677 | 466 MB   |   1204779 | 2026-09-11 11:02:32.464055+00
 equity_surface_diagnostics  |    3979247 | 937 MB   |   3982081 | 2026-09-11 15:10:58.739264+00
 equity_surface_202609       |   19101023 | 4429 MB  |  19101011 | 2026-09-11 18:16:59.252968+00
 equity_metrics_202609       |      75337 | 182 MB   |     75337 | 2026-09-11 18:22:13.470753+00
 equity_atm_202609           |    1005335 | 196 MB   |   1005335 | 2026-09-11 18:31:58.649607+00
 equity_metrics_z_202609     |      75360 | 288 MB   |     75337 | 2026-09-11 18:42:29.962201+00
 tt_thresholds               |      19118 | 391 MB   |     20224 | 2026-09-11 22:25:32.892701+00
 earnings_calendar           |       2280 | 568 kB   |      2408 | 2026-09-12 00:34:21.030636+00
 earnings_coverage           |        120 | 64 kB    |       120 | 2026-09-12 00:34:21.034166+00
 wf_bins                     |     262440 | 973 MB   |    233730 | 2026-09-14 13:47:56.492847+00
 is_bins                     |     229917 | 1009 MB  |    233730 | 2026-09-14 13:52:55.662473+00
