=== equities_scalp ===
 public | spx_atm_2022_11           | table             | portfolio
 public | spx_atm_2022_12           | table             | portfolio
 public | spx_atm_2023_01           | table             | portfolio
 public | spx_atm_2023_02           | table             | portfolio
 public | spx_atm_2023_03           | table             | portfolio
 public | spx_atm_2023_04           | table             | portfolio
 public | spx_atm_2023_05           | table             | portfolio
 public | spx_atm_2023_06           | table             | portfolio
 public | spx_atm_2023_07           | table             | portfolio
 public | spx_atm_2023_08           | table             | portfolio
 public | spx_atm_2023_09           | table             | portfolio
 public | spx_atm_2023_10           | table             | portfolio
 public | spx_atm_2023_11           | table             | portfolio
 public | spx_atm_2023_12           | table             | portfolio
 public | spx_atm_2024_01           | table             | portfolio
 public | spx_atm_2024_02           | table             | portfolio
 public | spx_atm_2024_03           | table             | portfolio
 public | spx_atm_2024_04           | table             | portfolio
 public | spx_atm_2024_05           | table             | portfolio
 public | spx_atm_2024_06           | table             | portfolio
 public | spx_atm_2024_07           | table             | portfolio
 public | spx_atm_2024_08           | table             | portfolio
 public | spx_atm_2024_09           | table             | portfolio
 public | spx_atm_2024_10           | table             | portfolio
 public | spx_atm_2024_11           | table             | portfolio
 public | spx_atm_2024_12           | table             | portfolio
 public | spx_atm_2025_01           | table             | portfolio
 public | spx_atm_2025_02           | table             | portfolio
 public | spx_atm_2025_03           | table             | portfolio
 public | spx_atm_2025_04           | table             | portfolio
 public | spx_atm_2025_05           | table             | portfolio
 public | spx_atm_2025_06           | table             | portfolio
 public | spx_atm_2025_07           | table             | portfolio
 public | spx_atm_2025_08           | table             | portfolio
 public | spx_atm_2025_09           | table             | portfolio
 public | spx_atm_2025_10           | table             | portfolio
 public | spx_atm_2025_11           | table             | portfolio
 public | spx_atm_2025_12           | table             | portfolio
 public | spx_atm_2026_01           | table             | portfolio
 public | spx_atm_2026_02           | table             | portfolio
 public | spx_atm_2026_03           | table             | portfolio
 public | spx_atm_2026_04           | table             | portfolio
 public | spx_atm_2026_05           | table             | portfolio
 public | spx_atm_2026_06           | table             | portfolio
 public | spx_atm_2026_07           | table             | portfolio
 public | spx_atm_2026_08           | table             | portfolio
 public | spx_atm_2026_09           | table             | portfolio
 public | spx_surface               | partitioned table | portfolio
 public | spx_surface_2020_01       | table             | portfolio
 public | spx_surface_2020_02       | table             | portfolio
 public | spx_surface_2020_03       | table             | portfolio
 public | spx_surface_2020_04       | table             | portfolio
 public | spx_surface_2020_05       | table             | portfolio
 public | spx_surface_2020_06       | table             | portfolio
 public | spx_surface_2020_07       | table             | portfolio
 public | spx_surface_2020_08       | table             | portfolio
 public | spx_surface_2020_09       | table             | portfolio
 public | spx_surface_2020_10       | table             | portfolio
 public | spx_surface_2020_11       | table             | portfolio
 public | spx_surface_2020_12       | table             | portfolio
 public | spx_surface_2021_01       | table             | portfolio
 public | spx_surface_2021_02       | table             | portfolio
 public | spx_surface_2021_03       | table             | portfolio
 public | spx_surface_2021_04       | table             | portfolio
 public | spx_surface_2021_05       | table             | portfolio
 public | spx_surface_2021_06       | table             | portfolio
 public | spx_surface_2021_07       | table             | portfolio
 public | spx_surface_2021_08       | table             | portfolio
 public | spx_surface_2021_09       | table             | portfolio
 public | spx_surface_2021_10       | table             | portfolio
 public | spx_surface_2021_11       | table             | portfolio
 public | spx_surface_2021_12       | table             | portfolio
 public | spx_surface_2022_01       | table             | portfolio
 public | spx_surface_2022_02       | table             | portfolio
 public | spx_surface_2022_03       | table             | portfolio
 public | spx_surface_2022_04       | table             | portfolio
 public | spx_surface_2022_05       | table             | portfolio
 public | spx_surface_2022_06       | table             | portfolio
 public | spx_surface_2022_07       | table             | portfolio
 public | spx_surface_2022_08       | table             | portfolio
 public | spx_surface_2022_09       | table             | portfolio
 public | spx_surface_2022_10       | table             | portfolio
 public | spx_surface_2022_11       | table             | portfolio
 public | spx_surface_2022_12       | table             | portfolio
 public | spx_surface_2023_01       | table             | portfolio
 public | spx_surface_2023_02       | table             | portfolio
 public | spx_surface_2023_03       | table             | portfolio
 public | spx_surface_2023_04       | table             | portfolio
 public | spx_surface_2023_05       | table             | portfolio
 public | spx_surface_2023_06       | table             | portfolio
 public | spx_surface_2023_07       | table             | portfolio
 public | spx_surface_2023_08       | table             | portfolio
 public | spx_surface_2023_09       | table             | portfolio
 public | spx_surface_2023_10       | table             | portfolio
 public | spx_surface_2023_11       | table             | portfolio
 public | spx_surface_2023_12       | table             | portfolio
 public | spx_surface_2024_01       | table             | portfolio
 public | spx_surface_2024_02       | table             | portfolio
 public | spx_surface_2024_03       | table             | portfolio
 public | spx_surface_2024_04       | table             | portfolio
 public | spx_surface_2024_05       | table             | portfolio
 public | spx_surface_2024_06       | table             | portfolio
 public | spx_surface_2024_07       | table             | portfolio
 public | spx_surface_2024_08       | table             | portfolio
 public | spx_surface_2024_09       | table             | portfolio
 public | spx_surface_2024_10       | table             | portfolio
 public | spx_surface_2024_11       | table             | portfolio
 public | spx_surface_2024_12       | table             | portfolio
 public | spx_surface_2025_01       | table             | portfolio
 public | spx_surface_2025_02       | table             | portfolio
 public | spx_surface_2025_03       | table             | portfolio
 public | spx_surface_2025_04       | table             | portfolio
 public | spx_surface_2025_05       | table             | portfolio
 public | spx_surface_2025_06       | table             | portfolio
 public | spx_surface_2025_07       | table             | portfolio
 public | spx_surface_2025_08       | table             | portfolio
 public | spx_surface_2025_09       | table             | portfolio
 public | spx_surface_2025_10       | table             | portfolio
 public | spx_surface_2025_11       | table             | portfolio
 public | spx_surface_2025_12       | table             | portfolio
 public | spx_surface_2026_01       | table             | portfolio
 public | spx_surface_2026_02       | table             | portfolio
 public | spx_surface_2026_03       | table             | portfolio
 public | spx_surface_2026_04       | table             | portfolio
 public | spx_surface_2026_05       | table             | portfolio
 public | spx_surface_2026_06       | table             | portfolio
 public | spx_surface_2026_07       | table             | portfolio
 public | spx_surface_2026_08       | table             | portfolio
 public | spx_surface_2026_09       | table             | portfolio
 public | spx_surface_diagnostics   | table             | portfolio
 public | surface_metrics_catalog   | table             | portfolio
 public | surface_metrics_core      | table             | portfolio
 public | tracked_signals           | table             | portfolio
